ISIN	Date
XS0878010718	2017-06-23
XS0982019126	2017-06-23
XS1595704872	2017-06-23
XS1314238459	2017-06-23
XS1511781467	2017-06-23
XS1551917245	2017-06-23
XS1551917591	2017-06-23
XS1578294081	2017-06-23
DE000A1Z0TA4	2017-06-23
DE000A1Z6C06	2017-06-23
DE000A1ZSAF4	2017-06-23
DE000A19HCW0	2017-06-23
DE000A19HCX8	2017-06-23
DE000A181034	2017-06-23
AT0000A0X913	2017-06-23
FR0011236983	2017-06-23
FR0011535764	2017-06-23
FR0011584929	2017-06-23
FR0012648244	2017-06-23
FR0013165677	2017-06-23
FR0013248721	2017-06-23
XS1288849471	2017-06-23
XS0896119384	2017-06-23
XS1531060025	2017-06-23
XS0993228294	2017-06-23
XS1041772986	2017-06-23
XS1215181980	2017-06-23
XS1293087703	2017-06-23
XS1495373505	2017-06-23
XS0811124790	2017-06-23
XS1485532896	2017-06-23
XS1485533431	2017-06-23
FR0000476087	2017-06-23
FR0010586081	2017-06-23
XS1554456613	2017-06-23
FR0013073277	2017-06-23
XS1586337872	2017-06-23
DE000A1R07P5	2017-06-23
XS0828235225	2017-06-23
XS0632659933	2017-06-23
XS0718526790	2017-06-23
XS0790015548	2017-06-23
XS1069836077	2017-06-23
XS1397134609	2017-06-23
XS1518704900	2017-06-23
XS0997829519	2017-06-23
XS1030851791	2017-06-23
FR0011033232	2017-06-23
FR0011485051	2017-06-23
FR0011625441	2017-06-23
FR0012173706	2017-06-23
FR0013257599	2017-06-23
FR0013257607	2017-06-23
FR0013257615	2017-06-23
FR0013257623	2017-06-23
XS1596739364	2017-06-23
XS1596740453	2017-06-23
ES0224244071	2017-06-23
XS0497186758	2017-06-23
XS1284570626	2017-06-23
XS1284576581	2017-06-23
XS1398336351	2017-06-23
XS1512827095	2017-06-23
XS1619643015	2017-06-23
XS0863116231	2017-06-23
XS1626574708	2017-06-23
XS0794392588	2017-06-23
XS1233732194	2017-06-23
XS1233734562	2017-06-23
XS0257884436	2017-06-23
XS0690606172	2017-06-23
XS0804217536	2017-06-23
XS1409382030	2017-06-23
XS1520713022	2017-06-23
XS0805500062	2017-06-23
XS0826531120	2017-06-23
XS0925668625	2017-06-23
XS0969795680	2017-06-23
XS1132789949	2017-06-23
XS1319652902	2017-06-23
XS1204254715	2017-06-23
XS1550988569	2017-06-23
XS1623355374	2017-06-23
XS1623355457	2017-06-23
XS1134729794	2017-06-23
XS1134758116	2017-06-23
XS1492825051	2017-06-23
XS1492825481	2017-06-23
XS1584884347	2017-06-23
XS1585010074	2017-06-23
XS0912992160	2017-06-23
XS1025752293	2017-06-23
FR0000471930	2017-06-23
XS0365094811	2017-06-23
XS1408317433	2017-06-23
XS1418632748	2017-06-23
XS1615067615	2017-06-23
XS1489391109	2017-06-23
FR0011798115	2017-06-23
FR0012173862	2017-06-23
FR0012968931	2017-06-23
FR0013172939	2017-06-23
XS1028951777	2017-06-23
XS0944435121	2017-06-23
NL0006133175	2017-06-23
FR0012384634	2017-06-23
FR0012384667	2017-06-23
FR0013217346	2017-06-23
XS0591586788	2017-06-23
XS0619706657	2017-06-23
XS0876289652	2017-06-23
XS0935803386	2017-06-23
XS1079698376	2017-06-23
XS1219462543	2017-06-23
XS1395060491	2017-06-23
XS1633929929	2017-06-23
XS1050547931	2017-06-23
XS1223842847	2017-06-23
FR0013183431	2017-06-23
XS1384281090	2017-06-23
XS1576837725	2017-06-23
XS1576838376	2017-06-23
XS0982774399	2017-06-23
XS1189286286	2017-06-23
XS1423826798	2017-06-23
XS0733696495	2017-06-23
