ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
XS1449707055	0	30,22258249	NULL	0	0	0	0	0	60,34002219	N	No	NULL													
XS1558491855	35,45716609	25,17350633	62,34890112	65,94290157	76,94597186	0	77,41000681	0	83,20851168	N	ISO 14000	61													
FR0010491720	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0010737882	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0010883058	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0011119775	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0011394907	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0011694033	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0013169885	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0013231099	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
FR0013251170	8,602971859	8,602971859	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	52,95265452	N	No	NULL													
XS1205716720	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0193945655	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0542534192	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0744125302	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0828749761	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0986174851	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1316567343	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1316569638	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1327504087	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1528093799	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A188WV3	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A188WW1	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1023268490	78,38778985	77,84660715	72,09967391	73,98455934	82,85325999	83,75447296	88,0188526	88,5257517	88,5257517	N	Both	65													
XS1023268573	78,38778985	77,84660715	72,09967391	73,98455934	82,85325999	83,75447296	88,0188526	88,5257517	88,5257517	N	Both	65													
XS1135309794	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0811690550	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1121177767	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1400165350	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1619283218	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0173501379	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0653885961	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0729046218	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0860596575	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0877622034	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0968316256	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1015212811	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1015217703	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1105264821	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1105276759	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1168962063	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1168971213	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1321956333	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1363560977	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
