ISIN	Date	Before2020
XS0223447227	2017-06-23	True
XS0399353506	2017-06-23	True
XS0831842645	2017-06-23	True
XS0970695572	2017-06-23	True
XS0995380580	2017-06-23	True
XS1057345651	2017-06-23	True
XS1111324700	2017-06-23	True
XS1222590488	2017-06-23	True
XS1385395121	2017-06-23	True
XS1471646965	2017-06-23	True
XS1558083652	2017-06-23	True
XS0235372140	2017-06-23	True
XS1292352843	2017-06-23	True
XS0162990229	2017-06-23	True
XS0645947457	2017-06-23	True
BE0002432079	2017-06-23	True
BE0002433085	2017-06-23	True
BE0119550466	2017-06-23	True
XS0836360254	2017-06-23	True
XS0973806861	2017-06-23	True
XS1578886258	2017-06-23	True
XS1052843908	2017-06-23	True
XS1177459531	2017-06-23	True
XS1203859415	2017-06-23	True
XS1403388694	2017-06-23	True
XS1508831051	2017-06-23	True
XS0207320242	2017-06-23	True
XS0399861086	2017-06-23	True
XS1074208270	2017-06-23	True
XS0177089298	2017-06-23	True
XS0452187916	2017-06-23	True
XS0647298883	2017-06-23	True
XS0695401801	2017-06-23	True
XS0827692269	2017-06-23	True
XS0842659426	2017-06-23	True
XS1176079843	2017-06-23	True
XS1425966287	2017-06-23	True
XS1550149204	2017-06-23	True
XS0170343247	2017-06-23	True
XS0192503695	2017-06-23	True
XS0306646042	2017-06-23	True
XS0213737702	2017-06-23	True
XS0737138460	2017-06-23	True
XS0854400800	2017-06-23	True
XS1307369717	2017-06-23	True
XS1396367911	2017-06-23	True
FR0010678185	2017-06-23	True
FR0010709451	2017-06-23	True
XS0331141332	2017-06-23	True
XS0451457435	2017-06-23	True
XS0521000975	2017-06-23	True
XS0563739696	2017-06-23	True
XS0741137029	2017-06-23	True
XS0798555537	2017-06-23	True
XS0951565091	2017-06-23	True
XS0970852348	2017-06-23	True
XS0996354956	2017-06-23	True
XS1023703090	2017-06-23	True
XS1180451657	2017-06-23	True
XS1292988984	2017-06-23	True
XS1412593185	2017-06-23	True
XS1412711217	2017-06-23	True
XS1493322355	2017-06-23	True
XS1493328477	2017-06-23	True
XS1551068676	2017-06-23	True
XS0905658349	2017-06-23	True
XS1239586594	2017-06-23	True
XS1428782160	2017-06-23	True
XS1560853670	2017-06-23	True
XS0551935769	2017-06-23	True
XS1243251375	2017-06-23	True
XS1315101011	2017-06-23	True
XS1396285279	2017-06-23	True
FR0011339746	2017-06-23	True
FR0011660596	2017-06-23	True
FR0013184702	2017-06-23	True
DE000A185QA5	2017-06-23	True
DE000A185QB3	2017-06-23	True
DE000A185QC1	2017-06-23	True
XS0911405784	2017-06-23	True
XS1170787797	2017-06-23	True
ES0205032008	2017-06-23	True
ES0205032016	2017-06-23	True
ES0205032024	2017-06-23	True
XS1004118904	2017-06-23	True
XS0768448796	2017-06-23	True
FR0013170834	2017-06-23	True
XS1554373164	2017-06-23	True
XS1554373248	2017-06-23	True
XS1554373677	2017-06-23	True
XS1554373834	2017-06-23	True
XS0436928872	2017-06-23	True
XS0458749826	2017-06-23	True
