Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
City of Seattle;US;;;Kestrel Verifiers;https://www.seattle.gov/investor-relations;;
City of Vancouver;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://vancouver.ca/your-government/investor-relations.aspx;;
City of Västerås;Sweden;;;CICERO;http://www.cicero.uio.no/en/posts/what-we-do/cicero-second-opinions-list ;;
Citycon;Finland;December 2019;CICERO;CICERO;https://www.citycon.com/investors/financing/green-financing;;
Ciudad de México (CDMX);Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://procesos.finanzas.cdmx.gob.mx/bono_verde/;;
Clearway Energy Operating LLC;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://investor.clearwayenergy.com/green-bonds;;
CNP Assurance;France;;;VIGEO EIRIS;https://www.cnp.fr/en/the-cnp-assurances-group/investors/credit-rating-and-debt-issuances/debt-issuances;;
Columbus Energy S.A.;Poland;;;CICERO;;;
Commerzbank;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.commerzbank.com/en/hauptnavigation/aktionaere/informationen_f_r_fremdkapitalgeber/greenbondframework/greenbond_docs.html;;
Compagnie de Phalsbourg;France;;;VIGEO EIRIS;http://www.compagniedephalsbourg.com/emission-inaugurale-green-record-pour-la-compagnie-de-phalsbourg/;;
Concord New Energy;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.cnegroup.com/en/investor/;;
Connecticut Green Bank (2020);US;;;Kestrel Verifiers;https://greenbonds.us/;;
Connecticut Green Bank (Series 2019-1);US;;;Kestrel Verifiers;https://greenbonds.us/;;
Consorcio Transmantaro S.A.;Peru;;;Moody's Investors Service;http://www.rep.com.pe/Paginas/inversionistas-ingles.aspx;;
Continuum Green Energy;India;;;CICERO;https://www.continuumenergy.in/investor-relations;;
Corem Property Group;Sweden;September 2020;CICERO;;https://www.corem.se/sv/ir;;
Corporación Andina de Fomento (CAF);Supra-national;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.caf.com/en/investors/green-bonds-program/;;
Covivio;France;October 2019;VIGEO EIRIS;VIGEO EIRIS;https://www.covivio.eu/en/finance/financial-strategy/bond/;;
Crédit Agricole (2016);France;September 2016;SUSTAINALYTICS;SUSTAINALYTICS;https://www.credit-agricole.com/en/finance/finance/debt;;
Crédit Agricole (2018);France;;;VIGEO EIRIS;https://www.credit-agricole.com/en/finance/finance/debt;;
Crédit Agricole (2019);France;June 2019;VIGEO EIRIS;VIGEO EIRIS;https://www.credit-agricole.com/en/finance/finance/debt;;
Credit Suisse;Switzerland;;;ISS-oekom;https://www.credit-suisse.com/corporate/en/investor-relations/information-for-debt-investors/green-finance.html;;
CSOLAR IV West, LLC;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.tenaska.com/tenaska-refinances-2nd-solar-facility-californias-imperial-valley-issuance-u-s-private-placement-green-bond/;;
CTP;Czech Republic;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ctp.eu/investors/#green-bond-reporting;;
Daiken Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.daiken-ad.com/en/csr.html;;
Daimler AG;Germany;;;CICERO;https://www.daimler.com/investors/refinancing/green-finance/;;
Daiwa Energy & Infrastructure Co. Ltd.;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.daiwa-ei.jp/en/index.html;;
Daiwa House Industry Co., Ltd. ;Japan;;;Rating and Investment Information;https://www.daiwahouse.com/English/sustainable/csr/esg/csr_report/;;
Daiwa House REIT;Japan;October 2019;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.daiwahouse-reit.co.jp/en/ir/index.html;;
Daiwa Securities Group;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.daiwa-grp.jp/english/ir/index.html;;
Damu Entrepreneurship Development Fund JSC;Kazakhstan;August 2020;AIFC Green Finance Centre;AIFC Green Finance Centre;https://damu.kz/en/programmi/;;
Danske Bank ;Denmark;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://danskebank.com/investor-relations/debt/green-bonds;;
De Volksbank ;Netherlands;January 2020;;ISS-oekom;https://www.devolksbank.nl/en/investor-relations/green-bonds;;
Deutsche Bank AG;Germany;;;ISS ESG;https://www.db.com/ir/en/green-bond.htm;;
Deutsche Hypothekenbank AG (2017);Germany;November 2017;oekom research;oekom research;https://www.deutsche-hypo.de/en/sustainability/green-bond;;
Deutsche Hypothekenbank AG (2020);Germany;;;ISS ESG;https://www.deutsche-hypo.de/en/green-bond;;
Deutsche Kreditbank (DKB) (2016);Germany;August 2016;;oekom research ;https://www.dkb.de/ueber_uns/verantwortung/green-bond-english/;;
Deutsche Kreditbank (DKB) (2017);Germany;;;oekom research ;https://www.dkb.de/ueber_uns/verantwortung/green-bond-english/;;
Deutsche Kreditbank (DKB) (2020);Germany;;;ISS ESG;https://www.dkb.de/ueber_uns/verantwortung/green-bond-english/;;
Deutsche Wohnen SE Group;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://ir.deutsche-wohnen.com/websites/dewohnen/English/1/home.html;;
Development Bank of Japan (DBJ);Japan;;;DNV;http://www.dbj.jp/en/ir/credit/sri/index.html;;
Development Bank of Southern Africa ;South Africa;;;CARBON TRUST;https://www.dbsa.org/EN/InvestorRelations/Pages/Green-Bonds.aspx;;
Dexin China Holdings Company Limited;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://ir.dexinchina.cn/en/CorporateInformation.aspx;;
Digital Realty;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investor.digitalrealty.com/overview/investor-relations-overview/default.aspx;;
Diös;Sweden;;CICERO;CICERO;https://www.dios.se/investerare/gron-finansiering/;;
District of Columbia Water & Sewer;US;;;Moody's Investors Service;https://www.dcwater.com/green-bonds;;
Dublin Unified School District;US;;;Kestrel Verifiers;https://www.dublin.k12.ca.us/Page/9554;;
E.ON (2019);Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.eon.com/en/investor-relations/bonds/green-bonds.html;;
E.ON (2021);Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.eon.com/en/investor-relations/bonds/green-bonds.html;;
East Renewable AB;Sweden;;CICERO;CICERO;;;
Eco Research Institute;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://ecobioplastics.jp/en/;;
EDF;France;July 2017;VIGEO EIRIS;VIGEO EIRIS;www.edf.fr/green-bonds-en ;;
Electricity Supply Board (ESB);Ireland;June 2019;SUSTAINALYTICS;SUSTAINALYTICS;https://www.esb.ie/investor-relations/green-bond;;
Electrolux ;Sweden;;;CICERO;https://www.electroluxgroup.com/en/green-bond-framework-29317/;;
Ellaktor Value PLC;Greece;;;ISS ESG;https://ellaktor.com/en/homepage/senior-notes-summary-term-sheet/;;
Empresas CMPC S.A. (CMPC);Chile;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://ir.empresascmpc.cl/English/Fixed-Income/Green-Bond-Reporting/default.aspx;;
EnBW;Germany;January 2019;;ISS-oekom;https://www.enbw.com/company/investors/bonds-share/bonds/green-bond.html;;
ENEL Finance Supra-national (2017);Italy;January 2017;VIGEO EIRIS;VIGEO EIRIS;https://www.enel.com/investors/fixed-income/main-programs/green-bond;;
ENEL Finance Supra-national (2018);Italy;;;VIGEO EIRIS;https://www.enel.com/investors/fixed-income/main-programs/green-bond;;
Energias de Portugal Group (EDP);Portugal;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.edp.com/en/investors/funding/green-bonds;;
Energy Development Corporation (EDC);Philippines;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.energy.com.ph/;;
ENGIE (2014);France;August 2016;;VIGEO EIRIS;http://www.engie.com/en/investors/fixed-income/green-bond-fight-climate-change/;;
ENGIE (January 2018);France;;;VIGEO EIRIS;http://www.engie.com/en/investors/fixed-income/green-bond-fight-climate-change/;;
ENGIE (March 2017);France;;;VIGEO EIRIS;http://www.engie.com/en/investors/fixed-income/green-bond-fight-climate-change/;;
