Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
Paragon;UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.paragonbankinggroup.co.uk/green-bond;;
Park City, Utah;US;;;Kestrel Verifiers;https://emma.msrb.org/IssueView/Details/RE398250;;
Pays de la Loire;France;;;VIGEO EIRIS;http://www.paysdelaloire.fr/services-en-ligne/emissions-obligataires/;;
Penta-Ocean Construction Co., Ltd.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;http://www.penta-ocean.co.jp/english/ir/data/rank/index.html;;
Pepper;Australia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.pepper.com.au/debt-investors/debt-programmes;;
PepsiCo, Inc. ;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.pepsico.com/sustainability/sustainability-reporting;;
PKO Bank Hipoteczny SA;Poland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.pkobh.pl/en/investor-relations/green-covered-bonds/;;
PORR AG;Austria;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://porr-group.com/en/investor-relations/porr-bonds/;;
Porsche;Germany;;;ISS-oekom;https://newsroom.porsche.com/en/2019/company/porsche-green-schuldschein-sustainable-projects-18335.html;;
Port of Los Angeles;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.portoflosangeles.org/newsroom/2016_releases/news_091516_green_bond.asp;;
PostNL;Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.postnl.nl/en/about-postnl/investors/bond-information/;;
Prologis (2018);Supra-national;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.prologis.com/green-bond;;
Prologis (2020);Supra-national;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.prologis.com/green-bond;;
Province of Ontario;Canada;November 2016;;CICERO;http://www.ofina.on.ca/greenbonds/verification.htm;;
Province of Québec;Canada;October 2018;CICERO;CICERO;http://www.finances.gouv.qc.ca/en/RI_GB_Green_Bonds.asp;;
Provincia de Jujuy;Argentina;;;SUSTAINALYTICS;http://prensa.jujuy.gob.ar/tag/bono-verde/;;
PT Sarana Multi Infrastruktur (Persero);Indonesia;May 2018;CICERO;CICERO;https://www.ptsmi.co.id/investor-relations/social-environmental/;;
QBE Insurance Group;Australia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.qbe.com/investor-relations/debt-investor-centre/debt-investor-centre/social-bonds;;
QuadReal;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.quadreal.com/sustainability/green-bonds/;;
Rabobank;Netherlands;September 2016;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.rabobank.com/nl/investors/funding/greenandsustainabilitybond/index.html;;
Raiffeisen Bank Supra-national;Austria;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://investor.rbSupra-national.com/index.php?id=552&L=1;;
Raiffeisen Bank Romania;Romania;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.raiffeisen.ro/despre-noi/guvernanta-corporativa/;;
RATP;France;;;VIGEO EIRIS;https://www.ratp.fr/en/en/la-ratp-et-les-green-bonds;;
Redes Energéticas Nacionais SGPS S.A.;Portugal;;;ISS ESG;https://www.ren.pt/en-GB/investidores/relacoes_com_investidores;;
Region Skane;Sweden;;;CICERO;http://www.cicero.uio.no/en/posts/what-we-do/cicero-second-opinions-list ;;
Renewable Japan Co. RJ Renewable Energy Project Bond IX Trust Certificate/ABL (2018);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.rn-j.com/en/business/;;
Renewable Japan Co. RJ Renewable Energy Project Bond V Trust Certificate/ABL (2019);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.rn-j.com/en/business/;;
Renewable Japan Co. RJ Renewable Energy Project Bond VII Trust Certificate/ABL (2020);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.rn-j.com/en/business/;;
Renewable Japan Co. RJ Renewable Energy Project Bond VIII Trust Certificate/ABL (2021);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.rn-j.com/en/business/;;
Renewi plc ;UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.renewiplc.com/en/investors/reports-and-presentations;;
RENOVA, Inc. (2020);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.renovainc.com/en/ir/;;
RENOVA, Inc. (Unsecured Bonds);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.renovainc.com/en/ir/;;
Renovate America (HERO Funding 2016-2);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding 2016-3);US;November 2016;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding 2016-4);US;January 2017;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2014-1);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2014-2);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2015-1);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2015-2);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2015-3);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America (HERO Funding Trust 2016-1);US;September 2016;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America 2017 (HERO Funding 2017-1);US;September 2017;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America 2017 (HERO Funding 2017-2);US;September 2017;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America 2017 (HERO Funding 2017-3);US;December 2017;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Renovate America 2018 (HERO Funding 2018-1);US;July 2018;;SUSTAINALYTICS;https://www.renovateamerica.com/green-bonds;;
Repower AG;Switzerland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.repower.com/en-us/investor-relations/debt/;;
Repsol;Spain;July 2017;;VIGEO EIRIS;https://www.repsol.energy/en/shareholders-and-investors/fixed-income-and-credit-ratings/rif/index.cshtml;;
Republic and Canton of Geneva;Switzerland;October 2019;VIGEO EIRIS;VIGEO EIRIS;https://www.ge.ch/dossier/obligations-vertes-green-bonds;;
Republic of Chile;Chile;;;VIGEO EIRIS;https://www.hacienda.cl/english/public-debt-office/green-bonds.html;;
Republic of Fiji;Fiji;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.rbf.gov.fj/Publications/Republic-of-Fiji-Green-Bond-Opinion;;
Republic of France;France;February 2018;;VIGEO EIRIS;https://www.aft.gouv.fr/en/green-oat;;
Republic of France (2018 update);France;;;VIGEO EIRIS;https://www.aft.gouv.fr/en/green-oat;;
Republic of France (2019 update);France;;;VIGEO EIRIS;https://www.aft.gouv.fr/en/green-oat;;
Republic of France (2021);France;;;VIGEO EIRIS;https://www.aft.gouv.fr/en/green-oat;;
Republic of Indonesia;Indonesia;;;CICERO;http://www.djppr.kemenkeu.go.id;;
Republic of Ireland;Ireland;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.ntma.ie/business-areas/funding-and-debt-management/irish-sovereign-green-bond-documents/;;
Republic of Italy;Italy;;;V.E;https://www.mef.gov.it/en/focus/Btp-Green-the-new-sovereign-bond-to-finance-Italys-ecological-transition-00001/;;
Republic of Lithuania;Lithuania;;;Moody's Investors Service;https://finmin.lrv.lt/en/competence-areas/state-debt-management;;
Republic of Poland;Poland;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.finanse.mf.gov.pl/en/public-debt/Supra-national-bonds/issuance-procedures;;
Reykjavik Energy;Iceland;;CICERO;CICERO;https://www.or.is/green-bond;;
Ricoh Leasing Company (2018);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.r-lease.co.jp/csr/greenbond/index.html;;
Ricoh Leasing Company (2019);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.r-lease.co.jp/csr/greenbond/index.html;;
Rikshem;Sweden;;;CICERO;https://www.rikshem.se/in-english/financial-information/financial-reports-and-presentations/;;
Rio Can;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://riocan.com/about/sustainability/;;
Rio Energy;Brazil;;;VIGEO EIRIS;http://www.rioenergyllc.com/en/investors-relations/#investidores;;
Rizal Commercial Banking Corporation (RCBC) ;Philippines;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.rcbc.com/Others/Sustainability;;
Royal Schiphol Group;Netherlands;;;VIGEO EIRIS;https://www.schiphol.nl/en/schiphol-group/page/green-bond-framework/;;
RSB HMAO Ltd.;Russian Federation;October 2018;Rating Agency Expert RA;Rating Agency Expert RA;http://rsb-hmao.ru/zelenoe-finansirovanie;;
Rumo S.A.;Brazil;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://ri.rumolog.com/en/disclosures-and-documents/green-bond/;;
RWE;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.group.rwe/en/investor-relations/bonds-and-rating/green-financing;;
Sacramento Municipal Utility district (2019 Series G Green Bonds);US;;;Kestrel Verifiers;https://www.smud.org/en/Corporate/About-us/Company-Information/Reports-and-Statements;;
Sacramento Municipal Utility district (2020 Series H Serial Bonds);US;;;Kestrel Verifiers;https://www.smud.org/en/Corporate/About-us/Company-Information/Reports-and-Statements;;
San Francisco Public Utilities Commission;US;;;SUSTAINALYTICS;http://sfwater.org/index.aspx?page=1182;;
SATO;Finland;March 2020;CICERO;CICERO;https://www.sato.fi/en/finances-investors/green-financing;;
Saudi Electricity ;Saudi Arabia;;;VIGEO EIRIS;https://www.se.com.sa/en-us/invshareholder/Pages/default.aspx;;
SBAB Bank AB;Sweden;;;CICERO;https://www.sbab.se/1/in_english/investor_relations/sbab_unsecured_funding/sbab_green_bond.html;;
Scatec ASA;Norway;February 2021;CICERO;;https://scatec.com/2021/02/09/scatec-asa-successful-placement-of-eur-250-million-of-new-senior-unsecured-green-bonds/;;
Scatec Solar ASA;Norway;;;DNV;https://scatecsolar.com/investor/events-presentations/;;
Schaeffler Group;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.schaeffler.com/content.schaeffler.com/en/company/sustainability/schaeffler_group_green_finance_1/schaeffler_group_green_finance.jsp;;
Scotiabank;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.scotiabank.com/ca/en/about/investors-shareholders/fixed-income-investors.html;;
Segi Astana;Malaysia;;;RAM;https://www.ram.com.my/pressrelease/?prviewid=4482;;
Seibu Holdings Inc.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;http://www.seibuholdings.co.jp/en/ir/;;
Seiko Epson Corporation (2019);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.epson.jp/osirase/2019/191211_2.htm;;
Seiko Epson Corporation (2020);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.epson.jp/osirase/2019/191211_2.htm;;
Sekisui House Reit;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.sekisuihouse.co.jp/english/sr/2019.html;;
Senko Group Holdings Co., Ltd.;Japan;;;Rating and Investment Information;https://www.senkogrouphd.co.jp/en/ir/;;
SFC RuSol 1 LLC;Russian Federation;;;Rating Agency Expert RA;http://www.sfo-rusol-1.ru/vo;;
SFIL Group;France;October 2019;Appendix to Sustainalytics report;SUSTAINALYTICS;https://sfil.fr/en/investors/;;
SHIMIZU CORPORATION;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.shimz.co.jp/en/company/ir/;;
SID Bank;Slovenia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://sid.si/en/news/sid-bank-issues-first-green-bond;;
Sinar Kamiri;Malaysia;;;RAM;https://www.ram.com.my/pressrelease/?prviewid=4412;;
Sindicatum Renewable Energy Company Pte;Singapore;November 2017;;SUSTAINALYTICS;http://www.sindicatum.com/about-us/sustainability/;;
Skandinaviska Enskilda Banken (SEB);Sweden;March 2017;CICERO/ENSO;CICERO/ENSO;https://sebgroup.com/investor-relations/debt-investors/green-bonds;;
Skanska;Sweden;;;CICERO;http://group.skanska.com/investors/financial-information/funding/;;
SNAM;Italy;;;DNV;http://www.snam.it/en/Investor_Relations/debt_credit_rating/climate_action_bond.html;;
SNCF (2021);France;;;ISS ESG;https://www.sncf.com/en/finance/financial-publications-sncf;;
SNCF Réseau (2016);France;;;oekom research;http://www.sncf-reseau.fr/en/sri-green-bonds;;
SNCF Réseau (2017);France;;;oekom research;http://www.sncf-reseau.fr/en/ressources/programs/green-bond-issuance-programme-updated-17-march-2017;;
Sociedade Bioelétrica do Mondego;Portugal;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.altri.pt/en/investors/green-funding/green-bond;;
Société du Grand Paris;France;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.societedugrandparis.fr/sgp/investors;;
Société Générale;France;;;VIGEO EIRIS;https://www.societegenerale.com/en/measuring-our-performance/investors/debt-investors;;
Södra Skogägarna;Sweden;;;CICERO;https://www.sodra.com/en/about-sodra/this-is-sodra/financial-information/financing-and-green-bonds/;;
Sogn Fjordane Energi (SFE);Norway;;CICERO;CICERO;http://www.sfe.no/;;
Soilbuild Group;Singapore;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.soilbuild.com/history/Soilbuild-gets-maiden-green-loan-of-S$248m-for-Tai-Seng-project;;
South Bayside Waste Management Authority;US;;Appendix to Kestrel Verifiers report;Kestrel Verifiers;https://www.rethinkwaste.org/;;
South Central Connecticut Regional Water Authority;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://emma.msrb.org/IssuerHomePage/Issuer?id=35F7FED3895ED0F11171B5E252AF5551&type=G;;
Southern Ohio Port Authority (PureCycle: Ohio LLC);US;;;Moody's Investors Service;https://purecycletech.com/news/;;
Southern Power;US;;;Deloitte;https://investor.southerncompany.com/information-for-investors/Green-Bonds/Southern-Power/default.aspx;;
Sparbanken Skåne;Sweden;September 2019;CICERO;CICERO;https://www.sparbankenskane.se/om-oss/om-verksamheten/finansiell-information/upplaningsprogram/grona-obligationer.html;;
SpareBank 1 Boligkreditt ;Norway;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://spabol.sparebank1.no/green-bonds;;
Sparebanken Sogn og Fjordane;Norway;December 2019;CICERO;CICERO;https://www.ssf.no/om-oss/investor-informasjon/gront-rammeverk/;;
Sparebanken Vest;Norway;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.spv.no/om-oss/investor-relations/gronne-obligasjoner;;
Specialfastigheter Sverige AB;Sweden;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.specialfastigheter.se/grona-obligationer/;;
SSE plc;UK;;;DNV;https://sse.com/investors/green-bond/;;
Star Energy Geothermal (Wayang Windu) Ltd;Indonesia;;CARBON TRUST;CARBON TRUST;http://www.starenergy.co.id/Safety-environment/Sustainability/Sustainability-Reports.aspx;;
State of Baden-Württemberg;Germany;February 2021;;VIGEO EIRIS;https://fm.baden-wuerttemberg.de/index.php?id=18430;;
State of Connecticut;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.ct.gov/deep/cwp/view.asp?a=2719&q=325576&deepNav_GID=1654;;
Stedin Group;Netherlands;;;ISS ESG;https://www.stedingroep.nl/eng/investor-relations;;
Stena Metall AB;Sweden;;CICERO;CICERO;https://www.stenametall.com/investor-relations/green-bond/;;
Stockholm County Council;Sweden;September 2016;;CICERO;http://www.cicero.uio.no/en/posts/what-we-do/cicero-second-opinions-list ;;
Stockholm Exergi;Sweden;;;CICERO;https://www.stockholmexergi.se/om-stockholm-exergi/miljo-och-hallbarhet/;;
Stockholms Kooperativa Bostadsförening (SKB);Sweden;;;CICERO;https://www.skb.org/om-oss/verkstallande-organisation/ekonomi-och-finans/gron-obligation/;;
Stora Enso;Finland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.storaenso.com/en/investors/stora-enso-as-an-investment/debt-investors/green-bonds;;
Sumitomo Mitsui Financial Group, Inc (2017);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.smbc.co.jp/aboutus/responsibility/environment/green_bond/green_bond_e.html;;
Sumitomo Mitsui Financial Group, Inc (2018);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.smbc.co.jp/aboutus/responsibility/environment/green_bond/green_bond_e.html;;
Sumitomo Mitsui Trust Bank (2018);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.smth.jp/en/;;
Sumitomo Mitsui Trust Bank (2021);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.smth.jp/en/;;
Sunndal Sparebanken;Norway;December 2019;CICERO;CICERO;https://sunndal-sparebank.no/ombanken/Gronn-obligasjon;;
Suzano Papel e Celulose S.A.;Brazil;;;SUSTAINALYTICS;http://ir.suzano.com.br/financial-information/indebtedness-and-capital-markets;;
Swedavia;Sweden;September 2019;CICERO;CICERO;https://www.swedavia.com/about-swedavia/financial-information/#gref;;
Swedbank AB;Sweden;October 2017;;DNV;https://www.swedbank.com/investor-relations/debt-investor/green-bonds/;;
Swedish Export Credit (SEK);Sweden;;;CICERO;http://www.sek.se/en/investor-relations/green-bonds/;;
Swire Properties;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.swireproperties.com/en/media/press-releases/2018/20180104_green-bond.aspx;;
Swiss Life;Switzerland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.swisslife.com/en/home/investors/bonds-and-ratings.html;;
Swiss Prime Site;Switzerland;;;ISS ESG;https://sps.swiss/en/group/investors/bonds;;
Swisscom;Switzerland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.swisscom.ch/en/about/investors/financing.html;;
Synthesis Analytics;Sweden;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://synthesis.se/sustainability.html;;
Tadau Energy;Malaysia;;;CICERO;http://www.tadau.com.my/;;
Takasago Thermal Engineering Co., Ltd.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.tte-net.com/english/ir/index.html;;
Tatra Banka;Slovakia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.tatrabanka.sk/en/about-bank/economic-results/green/;;
TenneT (2016);Netherlands;;;oekom research;http://www.tennet.eu/company/investor-relations/green-financing/;;
TenneT (2017);Netherlands;;;oekom research;http://www.tennet.eu/company/investor-relations/green-financing/;;
TenneT (2018);Netherlands;;;oekom research;http://www.tennet.eu/company/investor-relations/green-financing/;;
Terna;Italy;;;VIGEO EIRIS;http://www.terna.it/en-gb/investorrelations/debitoerating/emissioniobbligazionarie.aspx;;
The Conservation Fund;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.conservationfund.org/green-bond;;
Tianjin Rail Transit Group;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.tjgdjt.com/fagui/content_15167.htm;;
Toda Corporation (2018);Japan;;Rating and Investment Information;SUSTAINALYTICS;http://www.toda.co.jp/english/ir/index.html;;
Toda Corporation (July 2020);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.toda.co.jp/english/ir/index.html;;
Toda Corporation (September 2020);Japan;;;Rating and Investment Information;http://www.toda.co.jp/english/ir/index.html;;
Tokyo Century ;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.tokyocentury.co.jp/en/csr/environment/greenbond.html;;
Tokyo Gas Co., Ltd.;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://tokyo-gas.disclosure.site/en/?_ga=2.86807576.1896310047.1612869334-1215548008.1612869334;;
Tokyo Metropolitan Government;Japan;;ISS ESG;ISS ESG;http://www.zaimu.metro.tokyo.jp/bond/en/ir_library/tosai_ir_gb.html;;
Tokyo Tatemono;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://tatemono.com/english/ir/bonds.html;;
Tokyu Fudosan Holdings;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://tokyu-fudosan-hd-csr.disclosure.site/en/themes/44;;
Tokyu Land Capital Management Inc. ;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.tokyu-tlcm.co.jp/en/;;
Toronto-Dominion Bank;Canada;;;DNV;https://www.td.com/investor-relations/ir-homepage/debt-information/green-bonds/green-bonds.jsp;;
Town of Wareham;US;;;Kestrel Verifiers;https://www.wareham.ma.us/accounting/pages/financial-reports;;
Toyota Finance Corporation (2019);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.toyota-finance.co.jp/ir/investors/greenbond.html;;
Toyota Finance Corporation (2020);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.toyota-finance.co.jp/ir/investors/greenbond.html;;
Toyota Motor Credit Corporation;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.toyotafinancial.com/us/en/investor_relations/green-bond-programs.html;;
Toyota Motor Credit Corporation (2020);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.toyotafinancial.com/us/en/investor_relations/green-bond-programs.html;;
Transport Concession Company;Russian Federation;;Rating Agency Expert RA;Rating Agency Expert RA;http://chizhik-lrt.ru/soczialnaya-otvetstvennost-proekta.html;;
Transport for London;UK;;;DNV;https://tfl.gov.uk/info-for/investors/borrowing-programme;;
UBI Banca;Italy;;;ISS-oekom;https://www.ubibanca.it/pagine/Green-Social-and-Sustainable-bonds-EN.aspx;;
United Urban Investment Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;http://www.united-reit.co.jp/en/;;
UPM;Finland;;;CICERO;https://www.upm.com/investors/;;
Uppsalahem;Sweden;;;CICERO;https://www.uppsalahem.se/om-oss/agare-och-organisation/finans/gronobligation/;;
Vacse;Sweden;;CICERO;CICERO/ENSO;https://vacse.se/investerare/grona-obligationer/;;
Vasakronan;Sweden;;;CICERO;http://en.vasakronan.se/welcome-to-vasakronan/sustainability;;
Vattenfall;Sweden;;;CICERO;https://group.vattenfall.com/investors;;
Vena Energy (2019);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.venaenergy.com/our-commitments/;;
Vena Energy (2020);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.venaenergy.com/our-commitments/;;
Verbund;Austria;;;oekom research;https://www.verbund.com/en-at/about-verbund/investor-relations/financing/bonds;;
Verizon;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.verizon.com/about/sites/default/files/corporate-responsibility-report/2017/index.html#;;
Vermont Educational and Health Buildings Financing Agency (VEHBFA);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.sustainalytics.com/sustainability-bond-services ;;
Vestas Wind Systems A/S;Denmark;;;DNV;https://www.vestas.com/en/investor/green%20bond#!info;;
Vesteda;Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.vesteda.com/nl/over-vesteda/investor-relations/credit-investors.aspx;;
Vestel;Turkey;June 2020;VIGEO EIRIS;;http://www.vestelinvestorrelations.com/en/;;
VGP NV;Belgium;March 2021;CICERO;CICERO;https://www.vgpparks.eu/en/investors/financial-debt/;;
Vía Célere SL;Spain;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.viacelere.com/innovacion;;
VINCI;France;;;VIGEO EIRIS;https://www.vinci.com/vinci.nsf/en/finance-documentation-financial-transactions/pages/6.htm;;
Virgin Trains USA;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.gobrightline.com/people-culture#social_responsibility;;
Visa Inc.;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investor.visa.com/;;
Vivint Solar Inc;US;;;ISS ESG;https://www.vivintsolar.com/about-us;;
Vodafone ;UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.vodafone.com/content/index/about/sustainability/approach-and-reporting/reporting-centre.html;;
Volkswagen;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.volkswagenag.com/en/InvestorRelations/fixed-income/green-finance.html;;
Volvo Group;Sweden;;;CICERO;https://www.volvogroup.com/en-en/investors/debt-information/green-financing.html;;
Volvofinans Bank AB (2017);Sweden;;;CICERO;https://www.volvofinans.se/om-oss/investerarrelationer/grona-obligationer/;;
Volvofinans Bank AB (2019);Sweden;;CICERO;CICERO;https://www.volvofinans.se/om-oss/investerarrelationer/grona-obligationer/;;
Vonore Fiber Products LLC;US;;;Moody's Investors Service;https://generaenergy.com/;;
Vonovia;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investoren.vonovia.de/en/creditor-relations/green-bonds/;;
Wallenstam;Sweden;;;CICERO;https://www.wallenstam.se/en/wallenstam/investor-relations/green-bonds/;;
Water Wheel Green Securities Corporation B.V.;Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://waterwheelgreensecurities.com/;;
Welltower Inc.;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://welltower.com/investors/fixed-income/;;
White Peak;China;;;CICERO;http://www.wprei.com/en-US/sustainability;;
Workspace Group PLC;UK;;DNV;DNV;https://www2.workspace.co.uk/investors;;
World Bank (IBRD);Supra-national;September 2016;CICERO;CICERO;https://treasury.worldbank.org/en/about/unit/treasury/ibrd/ibrd-green-bonds;;
Wuhan Metro Group Co., Ltd.;China;;;Moody's Investors Service;http://www.wuhanrt.com/;;
Yango Group;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.yango.com.cn/index.php/Ch/Cms/Investor/shzr;;
YES BANK Ltd;India;September 2016;KPMG;KPMG;"https://www.yesbank.in/annual-reports/fy-2015-16/annual-report-2015-
16&Category=AnnualReports&FYear=2015-16";;
Ygrene Energy Fund;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.sustainalytics.com/sustainability-bond-services ;;
Zürcher Kantonalbank (2018);Switzerland;April 2018;oekom research;oekom research;https://www.zkb.ch/de/uu/nb/investor-relations/obligationenanleihen.html;;
Zürcher Kantonalbank (2019);Switzerland;;;ISS-oekom;https://www.zkb.ch/de/uu/nb/investor-relations/obligationenanleihen.html;;
