ISIN	ICB Industry name	ICB Sector name	ICB Supersector name
XS0591586788	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0619706657	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0876289652	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0935803386	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1079698376	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1219462543	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1395060491	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1633929929	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1050547931	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1223842847	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
FR0013183431	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1384281090	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1576837725	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1576838376	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0982774399	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1189286286	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1423826798	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0733696495	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0831370613	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0933604943	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0975256685	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1148073205	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1334225361	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1442286008	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1451452954	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1613140489	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1084563615	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
